gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PPP1R7,-0.07560872438275555,7.290847517734036,-0.4525992031031337,0.6532809827493175,1,-6.924746828436077
ATP5F1A,-0.05806238171552281,8.80456424330371,-0.45049198830923365,0.6547864483283702,1,-7.284128422411317
MDGA1,-0.1033219302870309,7.134821774171986,-0.4503365866578594,0.6548975303257241,1,-6.893144234665665
FKBP3,-0.05939261474797439,8.016946800571544,-0.4441818847684342,0.6593032994716638,1,-7.0999613654063625
LSM2,0.06533741981543158,7.7700578772423095,0.44390794846570214,0.6594996804231791,1,-7.03860636976976
RPS6KA1,0.07108948560955032,7.739620508827325,0.4400378889251175,0.6622766671855138,1,-7.03317714804304
MFSD14B,-0.07207545801420491,7.387896681233727,-0.4388830911667152,0.6631062367470357,1,-6.944117421200666
REX1BD,0.07486204534408136,7.46173638819528,0.4388752441164264,0.6631118752839993,1,-6.95770681471948
"DHFR,DHFR2",-0.06970647185421971,7.511880321702333,-0.4366717634206579,0.6646959799736933,1,-6.97668168382659
AHCYL1,-0.0804128613367013,7.354982964852726,-0.4338519733848976,0.6667254240454292,1,-6.9500482086001565
IGFBP4,-0.09852379767738333,8.137721586400641,-0.43330335632885353,0.6671205666842287,1,-7.136413075347742
ZNF787,-0.0742246491187814,7.192973296305423,-0.43324150072215284,0.667165124334659,1,-6.910537166989031
PFDN5,-0.04532090290144967,8.9176054707885,-0.4305726130479635,0.6690888143945665,1,-7.3167053955400805
PET100,-0.06333342095640944,7.675696380174613,-0.4304593895408978,0.6691704740030286,1,-7.02145886998767
TMED4,-0.06875957420811836,8.4739458648986,-0.42839072876608514,0.6706631575707864,1,-7.216655844749536
